code,name,lat,lon
AA,ATARIA,27.172786,80.860969
AABH,AMBIKA BHAWANI HALT,25.751932,84.969467
AADR,AMB  ANDAURA,31.670257,76.109921
AAG,ANGAR,17.9545,75.6001
AAGH,ANTAGARH,20.0940232,81.1386294
AAH,ITEHAR,26.5625,78.6836
AAL,AMLAI,23.1731,81.5932
AAM,ANGADIPPURAM,10.979069,76.206923
AAP,AMBIAPUR,26.5149,79.8264
AAR,ADESAR,23.56084,70.982666
AAS,ASRANADA,26.397444,73.305395
AAY,ARALVAYMOLI,8.249207,77.529302
AB,AMBUR,12.7833,78.7216
ABB,ABADA,22.5477,88.1992
ABD,AMBLI ROAD,23.05387,72.493544
ABFC,AMBARI FALAKATA,26.6412,88.5103
ABGM,AMBALGRAM,23.68839,88.081684
ABGT,ARABAGATTA HALT,13.907408,76.134911
ABH,AMBARNATH,19.210042,73.184416
ABI,AMBATURAI,10.2717,77.924
ABKA,AMBIKA KALNA,23.2118,88.3544
ABKP,AMBIKAPUR,23.1368,83.1449
ABLE,AMBALE,18.406818,74.139004
ABO,ASTHAL BOHAR,28.8579,76.6292
ABP,AKBARPUR,26.429998,82.539253
ABR,ABU ROAD,24.471135,72.776055
ABRV,AMBARI RICHHAVI,22.31955,74.272202
ABS,ABOHAR,30.139338,74.193935
ABSA,AMBASA,23.930877,91.861153
ABT,AMBAGARATTUR,10.9534566,79.7246255
ABU,AMBATTUR,13.1141,80.1534
ABW,ABUTARA,26.07814,89.63479
ABX,AMBARI,19.695688,78.227291
ABY,AMBIVLI,19.2673,73.1715
ACG,ACHEGAON,20.976187,75.934217
ACH,ACHALGANJ,26.445,80.5458
ACK,ACHARAPAKKAM,12.4067,79.8216
ACL,ANCHELI,20.8454,72.9452
ACLE,AZIMGANJ CITY,24.2376,88.2585
ACN,ADHICHCHANUR,12.05443,79.182758
ACPR,ARCHIPATHAR,27.707087,94.849262
ACRN,ACHIRNE,16.446711,73.743684
ACU,ACHUARA HALT,25.45273,85.661087
AD,ADONI,15.6167,77.2745
ADB,ADILABAD,19.680414,78.535595
ADD,ADAS ROAD,22.4897,73.0314
ADE,ADARI ROAD,20.986845,70.330868
ADF,ADINA,25.1143,88.1231
ADH,ANDHERI,19.117139,72.846563
ADHL,ADIHALLI,13.2754,76.374
ADI,AHMEDABAD JN,23.025475,72.601476
ADL,ANDUL,22.5754,88.2399
ADPT,ANDIPATTI,9.9938,77.619
ADQ,ADHIKARI,26.577142,88.170132
ADR,MANDI ADAMPUR,29.2828,75.4685
ADRA,ADRA,23.495602,86.674275
ADST,ADI SAPTAGRAM,22.9546,88.379002
ADT,ADUTURAI,11.0086,79.4781
ADTL,ADHARTAL,23.227859,79.972744
ADTP,ADITYAPUR,22.782592,86.159334
ADVI,ADAVALI,16.921673,73.592434
ADX,ADAPUR,26.925131,84.942169
AED,AULENDA,27.0293,77.6127
AEH,ANANT PAITH,26.0354,78.227
AEJ,ARNEJ,22.581918,72.268152
AEK,ANEKAL ROAD,12.7234,77.7102
AEL,ATELI,28.0999,76.2529
AEX,ADDERI,14.1409,75.1578
AF,AGRA FORT,27.183188,78.01898
AFK,ANGAMALI,10.1834,76.3776
AFR,ASAFPUR,28.405293,78.905697
AG,ARANGHATA,23.241977,88.613491
AGA,AGRA CITY,27.194323,78.015525
AGAE,AGRADWIP,23.5809,88.2261
AGAS,AGAS,22.5018,72.8837
AGB,AMBAGAON,19.062,82.239
AGC,AGRA CANTT JN,27.157722,77.989883
AGCI,ANGADI,22.8071,73.2829
AGD,AGASOD,24.234403,78.217292
AGI,AMGURI,26.812811,94.524221
AGM,AGARAM SIBBANDI,12.4144,79.1134
AGMN,AGOMONI,26.211514,89.782123
AGN,AMGAON,21.3612,80.3747
AGP,AGARPARA,22.682925,88.385181
AGR,AMARGARH,23.0806,74.747
AGT,AGTHORI,26.2012,91.6863
AGTL,AGARTALA,23.792727,91.278791
AGTR,AGTHORI,26.007733,84.843979
AGV,ANGUA,21.892642,87.269983
AGX,AGASTIYAMPALLI,10.355956,79.850693
AGY,AGORI KHAS,24.5986,83.0558
AGZ,AMAGURA,19.0682,82.1475
AH,ACHHNERA JN,27.181738,77.757797
AHA,ABHAIPUR,25.2282,86.3442
AHH,AHMADGARH,30.6833,75.8292
AHJU,AHJU,32.02838,76.690106
AHL,AJHARAIL,25.781498,87.848182
AHLR,AHALYAPUR,26.4681,83.8246
AHM,AHIMANPUR,25.2523,82.5114
AHMP,ADARSH MANPUR,25.133742,85.920689
AHN,AHIRAN,24.518077,88.041515
AHO,ADARSHNAGAR,26.4217,74.6502
AHQ,AHERA HALT,28.9261,77.2783
AHT,AMGHATA,23.412131,88.42203
AHU,AHIRAULI,27.30696,83.034325
AHZ,ADHINPUR,26.4182,81.7266
AI,ADIPUR,23.076713,70.078319
AIA,AJARAKA,27.959761,76.564579
AIG,ALGAWAN,27.701,79.9636
AIH,ALAWALPUR I PUR,29.0471,77.2709
AII,AJMER JN,26.456742,74.637594
AILM,AILAM,29.288,77.2924
AIP,ATTIPPATTU,13.2491,80.2994
AIPP,ATTIPATTU PUDU NAGAR.H,13.249052,80.300015
AIT,AIT,25.9035,79.2302
AJ,AJGAIN,26.6174,80.6212
AJE,ANJAR,23.119312,70.036451
AJH,AJHAI,27.63571,77.557983
AJI,ANJHI SHAHABAD,27.6444,79.9737
AJIT,AJIT,25.859687,72.677565
AJJ,ARAKKONAM JN.,13.081652,79.668131
AJK,AJAKOLLU,16.32953,77.870407
AJL,AJITWAL,30.8079,75.3401
AJN,AJNOD,22.9309,75.7385
AJNI,AJNI,21.11581,79.078646
AJP,AJJAMPUR,13.7284,76.0098
AJR,AJAIBPUR,28.4833,77.5833
AJRE,AUJARI,26.142186,92.264557
AJTM,AJITGILL MATTA,30.4833,74.8637
AJU,ARJUNI,20.8167,80.0214
AJUG,ABJUGANJ,25.243454,86.756866
AK,AKOLA JN.,20.723164,77.005577
AKAT,AKKAMPET,13.6701,80.016
AKD,AKODIA,23.3782,76.5992
AKE,AKANAPET,18.1111,78.3965
AKIP,AKAIPUR HALT,23.094418,88.717861
AKJ,AKBARGANJ,26.5319,81.5021
AKK,AKKIHEBBAIU,12.62476,76.377468
AKLA,AKLERA,24.42,76.57
AKM,ARAMBAKKAM,13.533,80.0747
AKN,AKBARNAGAR,25.2321,86.8319
AKNR,ADHYATMIK NAGAR,28.679594,77.499447
AKOR,AKALKOT ROAD,17.4506,76.1381
AKOT,AKOT,21.095391,77.046947
AKP,ANAKAPALLE,17.695,83.0083
AKR,AKOLNER,18.9855,74.6691
AKRA,AKRA,22.5146,88.249
AKRD,AKURDI,18.6484,73.7645
AKS,ANKUSPUR,25.5675,83.4809
AKT,AKALTARA,22.029081,82.422009
AKV,ANKLESHWAR JN,21.6243,73.0011
AKVD,AKIVIDU,16.5828,81.3692
AKW,AKONA,25.613977,80.140285
AKZ,AKASHI,23.4067,84.8256
AL,ATTILI,16.68,81.6162
ALAI,ALAI,27.337567,73.586238
ALAL,ALAL,30.3778,75.7238
ALAT,AVULADATLA,14.689669,76.974072
ALAU,ALAU,22.214424,71.699696
ALB,ALIA BADA,22.4468,70.2104
ALER,ALER,17.6454,79.0478
ALGP,ALGAPUR,24.754373,92.595538
ALJ,ALIGANJ,29.11418,78.91951
ALJN,ALIGARH JN,27.8891,78.0741
ALK,ALAKKUDI,10.7774,79.0535
ALLP,ALAPPUZHA,9.4835,76.3222
ALM,ALAMANDA,18.012,83.2711
ALMR,ALAMPUR,21.943523,71.698666
ALMW,ALMAW,25.2594,82.4894
ALN,ALANDI,18.450789,74.092655
ALNI,ALNIYA,24.9683,75.9421
ALNP,AKELAHANSPUR(HALT),28.34095,80.315981
ALP,ALAPAKKAM,11.543271,79.725208
ALPD,ADALPAHARI,24.2082189,87.7094874
ALPR,ALAMPUR ROAD,15.895177,78.046532
ALS,AMLORI SARSAR,26.272,84.3473
ALU,ARIYALUR,11.1502,79.0685
ALUH,ALAULI,25.6436826,86.4123094
ALW,ALWAL,17.505289,78.514516
AMA,ATAMANDA,28.58617,79.468253
AMB,AMBODALA,19.8364,83.4561
AMBG,ARAMBAG,22.88811,87.791748
AMC,AMRITAPURA,14.1399,76.2488
AMD,AMILA,26.191026,83.522358
AMDI,AMDI P.H.,21.35254,79.318886
AME,AMETHI,26.1526,81.8059
AMG,ALAMNAGAR,26.8474,80.8606
AMGA,AMJONGA,25.981425,90.84569
AMGU,AMMUGUDA,17.488686,78.5232091
AMH,AZAMGARH,26.039,83.161
AMHA,AMETHA,24.4057073,76.4384104
AMI,AMRAVATI,20.9298,77.7575
AMIN,AMIN,29.9046,76.8997
AML,AMALSAD,20.8113,72.956
AMLA,AMLA JN,21.9198,78.1233
AMLI,AMLI,25.828,76.286
AMLO,AMLO,23.768693,85.980034
AMLP,AMALPUR,22.1614,73.5086
AMM,ADIRAMPATINAM,10.33147,79.384632
AMNE,AMALNER B,18.9325677,75.3289862
AMNR,AMMANUR,10.5912,79.6409
AMO,AMOLWA,27.210671,84.477997
AMP,AHAMADPUR JN.,23.8329,87.6935
AMPA,AMBALAPPUZHA,9.386149,76.363907
AMPL,AMMAPALLI HALT,25.264103,87.471428
AMPR,AMARPURA RATHAN,29.483539,74.079093
AMQ,AMMUGUDA,17.486829,78.527005
AMRA,AMHA PIPRA,26.146623,86.7923781
AMRO,AMROHA,28.8923,78.4739
AMS,AMAUSI,26.7745,80.8416
AMSA,AMMASANDRA,13.264821,76.711736
AMT,AMMAPET,10.779306,79.315538
AMTA,AMTA,22.574868,88.0188971
AMVA,AMARAVILA HALT,8.396809,77.100062
AMW,AMAN VADI,20.300197,77.064971
AMY,AKATHUMURI,8.70016,76.758642
AN,AMALNER,21.0492,75.0575
ANA,ASLANA,23.8601,79.3191
ANAH,AUNTA HALT,25.376911,85.962696
ANAS,ANAS,22.8655,74.421
ANB,AMMANABROLU,15.596832,80.148783
ANC,ANNECHAKANAHALI,12.73814,76.283054
ANCR,ANCHURI,23.284124,86.993394
AND,ANDAMPALIAM,12.0881,79.1687
ANDI,ADARSH NAGAR DELHI,28.714265,77.166767
ANDN,ANAND NAGAR,27.1033,83.2703
ANE,ANANTARAJUPET,13.9997,79.3025
ANF,ANANDAPURAM,14.073644,75.209484
ANG,AHILYANAGAR,19.075178,74.721622
ANGL,ANGUL,20.859935,85.100484
ANGM,AUNGRIDHAN,25.191284,85.226261
ANGR,ANGADGERI HALT,16.451644,75.845661
ANH,ANKORAH AKORHA,24.7614,84.1697
ANI,AJANTI,21.894314,76.286316
ANK,ANKAI,20.180932,74.45735
ANKL,ANKOLA,14.6448,74.3324
ANLG,AMAN LODGE,19.0010663,73.2814905
ANM,ANAIMALAI ROAD,10.624504,76.934681
ANMD,ARANG MAHANADI,21.1895,81.9554
ANMP,ARJUN NAGAR,24.397166,86.637046
ANND,ANAND JN,22.5617,72.9662
ANNR,ANNANUR,13.116428,80.127153
ANO,ANJANI,17.620955,73.399658
ANP,ANANDATANDAVAPURAM,11.145561,79.659119
ANPR,ANPARA,24.217,82.7658
ANQ,AMNAPUR,17.049235,74.459324
ANR,ANARA,23.480882,86.559563
ANSB,ANANDPUR SAHIB,31.230044,76.500134
ANT,ANANTNAG,33.7386014,75.10572
ANU,ANANGUR,11.3967,77.8198
ANV,ANNAVARAM,17.2694,82.4194
ANVR,ANAND VIHAR,28.649084,77.314494
ANVT,ANAND VIHAR TERMINAL,28.643218,77.307444
ANW,ANAWAL,20.84293,73.264389
ANY,ARUMUGANERI,8.5793,78.092
AO,AONLA,28.295841,79.16894
AON,ARAON,27.1159,78.6966
AONI,AMONI,26.445244,92.914127
AOR,ARGORA,23.3466,85.3139
AP,ASHOKAPURAM,12.273922,76.635475
APA,AMARPURA,26.111053,74.249382
APB,ANUPPAMBATTU,13.304103,80.230579
APD,ALIPUR DUAR,26.479447,89.520807
APDC,ALIPUR DUAR CRT,26.499305,89.526858
