stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
AA,AA,ATARIA,ATARIA,,27.172786,80.860969,,,0,,Asia/Kolkata,0,,,
AABH,AABH,AMBIKA BHAWANI HALT,AMBIKA BHAWANI HALT,,25.751932,84.969467,,,0,,Asia/Kolkata,0,,,
AADR,AADR,AMB  ANDAURA,AMB  ANDAURA,,31.670257,76.109921,,,0,,Asia/Kolkata,0,,,
AAG,AAG,ANGAR,ANGAR,,17.9545,75.6001,,,0,,Asia/Kolkata,0,,,
AAGH,AAGH,ANTAGARH,ANTAGARH,,20.0940232,81.1386294,,,0,,Asia/Kolkata,0,,,
AAH,AAH,ITEHAR,ITEHAR,,26.5625,78.6836,,,0,,Asia/Kolkata,0,,,
AAL,AAL,AMLAI,AMLAI,,23.1731,81.5932,,,0,,Asia/Kolkata,0,,,
AAM,AAM,ANGADIPPURAM,ANGADIPPURAM,,10.979069,76.206923,,,0,,Asia/Kolkata,0,,,
AAP,AAP,AMBIAPUR,AMBIAPUR,,26.5149,79.8264,,,0,,Asia/Kolkata,0,,,
AAR,AAR,ADESAR,ADESAR,,23.56084,70.982666,,,0,,Asia/Kolkata,0,,,
AAS,AAS,ASRANADA,ASRANADA,,26.397444,73.305395,,,0,,Asia/Kolkata,0,,,
AAY,AAY,ARALVAYMOLI,ARALVAYMOLI,,8.249207,77.529302,,,0,,Asia/Kolkata,0,,,
AB,AB,AMBUR,AMBUR,,12.7833,78.7216,,,0,,Asia/Kolkata,0,,,
ABB,ABB,ABADA,ABADA,,22.5477,88.1992,,,0,,Asia/Kolkata,0,,,
ABD,ABD,AMBLI ROAD,AMBLI ROAD,,23.05387,72.493544,,,0,,Asia/Kolkata,0,,,
ABFC,ABFC,AMBARI FALAKATA,AMBARI FALAKATA,,26.6412,88.5103,,,0,,Asia/Kolkata,0,,,
ABGM,ABGM,AMBALGRAM,AMBALGRAM,,23.68839,88.081684,,,0,,Asia/Kolkata,0,,,
ABGT,ABGT,ARABAGATTA HALT,ARABAGATTA HALT,,13.907408,76.134911,,,0,,Asia/Kolkata,0,,,
ABH,ABH,AMBARNATH,AMBARNATH,,19.210042,73.184416,,,0,,Asia/Kolkata,0,,,
ABI,ABI,AMBATURAI,AMBATURAI,,10.2717,77.924,,,0,,Asia/Kolkata,0,,,
ABKA,ABKA,AMBIKA KALNA,AMBIKA KALNA,,23.2118,88.3544,,,0,,Asia/Kolkata,0,,,
ABKP,ABKP,AMBIKAPUR,AMBIKAPUR,,23.1368,83.1449,,,0,,Asia/Kolkata,0,,,
ABLE,ABLE,AMBALE,AMBALE,,18.406818,74.139004,,,0,,Asia/Kolkata,0,,,
ABO,ABO,ASTHAL BOHAR,ASTHAL BOHAR,,28.8579,76.6292,,,0,,Asia/Kolkata,0,,,
ABP,ABP,AKBARPUR,AKBARPUR,,26.429998,82.539253,,,0,,Asia/Kolkata,0,,,
ABR,ABR,ABU ROAD,ABU ROAD,,24.471135,72.776055,,,0,,Asia/Kolkata,0,,,
